repo_index	delta_success_rate	repo_name	baseline_rate	jesspro_rate
0	-0.240000	apache_hudi	0.580000	0.340000
1	-0.200000	apache_incubator-seatunnel	0.530000	0.330000
2	-0.200000	apache_seatunnel	0.530000	0.330000
3	-0.150000	pmd_pmd	0.760000	0.610000
4	-0.103939	graphhopper_graphhopper	0.710000	0.606061
5	-0.095455	languagetool-org_languagetool	0.545455	0.450000
6	-0.091667	google_google-java-format	0.550000	0.458333
7	-0.090000	jsqlparser_jsqlparser	0.930000	0.840000
8	-0.080000	activiti_activiti	0.910000	0.830000
9	-0.080000	dromara_hutool	0.820000	0.740000
10	-0.080000	looly_hutool	0.820000	0.740000
11	-0.080000	theonedev_onedev	0.480000	0.400000
12	-0.060000	apache_flink	0.760000	0.700000
13	-0.060000	pentaho_pentaho-kettle	0.690000	0.630000
14	-0.050000	prestodb_presto	0.520000	0.470000
15	-0.050000	yunaiv_yudao-cloud	0.300000	0.250000
16	-0.050000	rubenlagus_telegrambots	0.820000	0.770000
17	-0.045253	lettuce-io_lettuce-core	0.520000	0.474747
18	-0.040000	apache_maven	0.750000	0.710000
19	-0.040000	confluentinc_ksql	0.630000	0.590000
20	-0.040000	yunaiv_onemall	0.290000	0.250000
21	-0.037640	alibaba_canal	0.431579	0.393939
22	-0.036566	codecentric_spring-boot-admin	0.380000	0.343434
23	-0.030000	apolloconfig_apollo	0.640000	0.610000
24	-0.030000	hazelcast_hazelcast	0.740000	0.710000
25	-0.030000	thingsboard_thingsboard	0.270000	0.240000
26	-0.030000	wechat-group_wxjava	0.320000	0.290000
27	-0.030000	yunaiv_ruoyi-vue-pro	0.310000	0.280000
28	-0.030000	col-e_recaf	0.580000	0.550000
29	-0.030000	liquibase_liquibase	0.840000	0.810000
30	-0.030000	oshi_oshi	0.590000	0.560000
31	-0.022653	eclipse-vertx_vert.x	0.632653	0.610000
32	-0.020000	apache_incubator-shenyu	0.710000	0.690000
33	-0.020000	apache_shenyu	0.710000	0.690000
34	-0.020000	ctripcorp_apollo	0.630000	0.610000
35	-0.020000	dromara_soul	0.710000	0.690000
36	-0.020000	openrefine_openrefine	0.770000	0.750000
37	-0.020000	signalapp_signal-server	0.370000	0.350000
38	-0.020000	alibaba_druid	0.570000	0.550000
39	-0.020000	keycloak_keycloak	0.690000	0.670000
40	-0.017172	jetlinks_jetlinks-community	0.300000	0.282828
41	-0.014444	seata_seata	0.444444	0.430000
42	-0.010101	spring-projects_spring-security-oauth	0.606061	0.595960
43	-0.010101	roboguice_roboguice	0.505051	0.494949
44	-0.010101	mcxiaoke_android-volley	0.707071	0.696970
45	-0.010101	zouzg_mybatis-generator-gui	0.707071	0.696970
46	-0.010000	abel533_mapper	0.800000	0.790000
47	-0.010000	alibaba_spring-cloud-alibaba	0.600000	0.590000
48	-0.010000	almasb_fxgl	0.450000	0.440000
49	-0.010000	brianfrankcooper_ycsb	0.550000	0.540000
50	-0.010000	dyc87112_springboot-learning	0.630000	0.620000
51	-0.010000	gephi_gephi	0.520000	0.510000
52	-0.010000	orientechnologies_orientdb	0.920000	0.910000
53	-0.010000	shuzheng_zheng	0.890000	0.880000
54	-0.010000	wxiaoqi_spring-cloud-platform	0.610000	0.600000
55	-0.010000	xuxueli_xxl-job	0.730000	0.720000
56	-0.010000	zfile-dev_zfile	0.510000	0.500000
57	-0.010000	zlt2000_microservices-platform	0.370000	0.360000
58	-0.004242	trinodb_trino	0.424242	0.420000
59	-0.002857	apache_zookeeper	0.860000	0.857143
60	0.000000	201206030_novel	0.540000	0.540000
61	0.000000	alibaba_cola	0.770000	0.770000
62	0.000000	alibaba_datax	0.700000	0.700000
63	0.000000	alibaba_fastjson	0.610000	0.610000
64	0.000000	alibaba_jetcache	0.690000	0.690000
65	0.000000	alibaba_jstorm	0.430108	0.430108
66	0.000000	alibaba_qlexpress	0.490000	0.490000
67	0.000000	alibaba_sentinel	0.830000	0.830000
68	0.000000	alibaba_transmittable-thread-local	0.800000	0.800000
69	0.000000	alluxio_alluxio	0.630000	0.630000
70	0.000000	angel-ml_angel	0.740000	0.740000
71	0.000000	ant-media_ant-media-server	0.810000	0.810000
72	0.000000	antlr_antlr4	0.570000	0.570000
73	0.000000	apache_camel	0.000000	0.000000
74	0.000000	apache_dubbo-spring-boot-project	0.569231	0.569231
75	0.000000	apache_rocketmq	0.800000	0.800000
76	0.000000	apache_shardingsphere-elasticjob	0.620000	0.620000
77	0.000000	apache_shiro	0.810000	0.810000
78	0.000000	apache_skywalking	0.430000	0.430000
79	0.000000	apache_storm	0.354167	0.354167
80	0.000000	apache_zeppelin	0.306122	0.306122
81	0.000000	asynchttpclient_async-http-client	0.690000	0.690000
82	0.000000	baidu_uid-generator	0.812500	0.812500
83	0.000000	baomidou_dynamic-datasource	0.420000	0.420000
84	0.000000	baomidou_dynamic-datasource-spring-boot-starter	0.420000	0.420000
85	0.000000	brettwooldridge_hikaricp	0.636364	0.636364
86	0.000000	brianway_java-learning	0.950000	0.950000
87	0.000000	bytedeco_javacpp	0.950000	0.950000
88	0.000000	bytedeco_javacv	0.280000	0.280000
89	0.000000	changmingxie_tcc-transaction	0.416667	0.416667
90	0.000000	chewiebug_gcviewer	0.980000	0.980000
91	0.000000	chillzhuang_springblade	0.320000	0.320000
92	0.000000	chrisbanes_android-pulltorefresh	0.387755	0.387755
93	0.000000	citerus_dddsample-core	0.840000	0.840000
94	0.000000	clojure_clojure	0.639175	0.639175
95	0.000000	code4craft_webmagic	0.757576	0.757576
96	0.000000	codingapi_tx-lcn	0.380000	0.380000
97	0.000000	coobird_thumbnailator	0.958333	0.958333
98	0.000000	crossoverjie_cim	0.380000	0.380000
99	0.000000	crossoverjie_jcsprout	0.787879	0.787879
100	0.000000	dangdangdotcom_dubbox	0.877551	0.877551
101	0.000000	databricks_learning-spark	0.522388	0.522388
102	0.000000	dbeaver_dbeaver	0.540000	0.540000
103	0.000000	ddd-by-examples_library	0.188889	0.188889
104	0.000000	deathmarine_luyten	0.830000	0.830000
105	0.000000	dianping_cat	0.810000	0.810000
106	0.000000	didi_logikm	0.320000	0.320000
107	0.000000	dius_java-faker	0.875000	0.875000
108	0.000000	dromara_hmily	0.480000	0.480000
109	0.000000	dromara_lamp-cloud	0.400000	0.400000
110	0.000000	dromara_sa-token	0.890000	0.890000
111	0.000000	dromara_shenyu	0.610000	0.610000
112	0.000000	dropwizard_dropwizard	0.520000	0.520000
113	0.000000	dropwizard_metrics	0.595960	0.595960
