time_ms	cdf_baseline	cdf_jesspro
0.000000	0.007993	0.008217
7.000000	0.008067	0.008254
8.000000	0.008329	0.008590
9.000000	0.008590	0.008852
10.000000	0.009262	0.009785
11.000000	0.010233	0.010570
12.000000	0.011204	0.011877
13.000000	0.012250	0.012661
14.000000	0.013707	0.014267
15.000000	0.015014	0.015724
16.000000	0.017143	0.017740
17.000000	0.019458	0.020168
18.000000	0.021625	0.022185
19.000000	0.023081	0.024239
20.000000	0.025957	0.026704
21.000000	0.029318	0.029916
22.000000	0.032530	0.032829
23.000000	0.036078	0.036377
24.000000	0.039477	0.039701
25.000000	0.042726	0.043399
26.000000	0.046424	0.047134
27.000000	0.051317	0.051541
28.000000	0.055425	0.055873
29.000000	0.059384	0.060654
30.000000	0.064463	0.066069
31.000000	0.069804	0.071223
32.000000	0.075219	0.076639
33.000000	0.081083	0.082465
34.000000	0.086611	0.088254
35.000000	0.092325	0.094006
36.000000	0.099160	0.100878
37.000000	0.105957	0.106667
38.000000	0.111485	0.113501
39.000000	0.117834	0.120037
40.000000	0.124594	0.126797
41.000000	0.131690	0.133221
42.000000	0.138525	0.139570
43.000000	0.145733	0.145920
44.000000	0.152120	0.153240
45.000000	0.159627	0.161232
46.000000	0.167432	0.168441
47.000000	0.174678	0.176134
48.000000	0.181401	0.183866
49.000000	0.188011	0.191671
50.000000	0.196153	0.199402
51.000000	0.204444	0.207283
52.000000	0.212325	0.215126
53.000000	0.219757	0.222708
54.000000	0.227414	0.230252
55.000000	0.235182	0.238730
56.000000	0.243473	0.247208
57.000000	0.250868	0.255313
58.000000	0.258898	0.262894
59.000000	0.265994	0.270999
60.000000	0.273725	0.278357
61.000000	0.281494	0.286499
62.000000	0.288852	0.294304
63.000000	0.296433	0.302035
64.000000	0.303567	0.309468
65.000000	0.310551	0.316937
66.000000	0.318618	0.324930
67.000000	0.326125	0.333147
68.000000	0.333147	0.340243
69.000000	0.340691	0.347190
70.000000	0.348310	0.354360
71.000000	0.355070	0.362614
72.000000	0.361905	0.369935
73.000000	0.367955	0.376583
74.000000	0.373894	0.383417
75.000000	0.380056	0.390177
76.000000	0.386405	0.395742
77.000000	0.393091	0.401494
78.000000	0.399290	0.407134
79.000000	0.405042	0.413669
80.000000	0.411578	0.418898
81.000000	0.417666	0.424799
82.000000	0.423978	0.431373
83.000000	0.430103	0.437274
84.000000	0.434659	0.443063
85.000000	0.439552	0.448366
86.000000	0.444407	0.452512
87.000000	0.448665	0.457516
88.000000	0.453333	0.462222
89.000000	0.458487	0.467190
90.000000	0.463716	0.471746
91.000000	0.468459	0.476303
92.000000	0.472866	0.481419
93.000000	0.477759	0.486050
94.000000	0.483063	0.490794
