repo_name,className,methodSignature,clinit,jess_success,jesspro_success,jess_stubDecls,jesspro_stubDecls,jess_timeMs,jesspro_timeMs
alibaba_easyexcel,repos/alibaba_easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/read/builder/ExcelReaderBuilder.java,extraRead(CellExtraTypeEnum),false,0,1,3,3,35,47
almasb_fxgl,repos/almasb_fxgl/fxgl-core/src/main/java/com/almasb/fxgl/core/collection/grid/Grid.java,"getNeighbors(int, int, NeighborSelectionStrategy)",false,1,0,2,2,78,26
almasb_fxgl,repos/almasb_fxgl/fxgl-core/src/main/java/com/almasb/fxgl/core/concurrent/IOTask.java,toJavaFXTask(),false,1,0,5,5,52,20
almasb_fxgl,repos/almasb_fxgl/fxgl-core/src/main/java/com/almasb/fxgl/core/math/FXGLMath.java,"bezier(Point2D, Point2D, Point2D, double)",false,1,0,3,3,53,34
almasb_fxgl,repos/almasb_fxgl/fxgl-entity/src/main/java/com/almasb/fxgl/pathfinding/CellMoveComponent.java,onUpdate(double),false,1,0,3,3,175,31
almasb_fxgl,repos/almasb_fxgl/fxgl-scene/src/main/java/com/almasb/fxgl/ui/FXGLButton.java,FXGLButton(String),false,1,0,9,9,667,22
almasb_fxgl,repos/almasb_fxgl/fxgl-scene/src/main/java/com/almasb/fxgl/ui/ProgressBar.java,setLabelVisible(boolean),false,1,0,8,8,184,40
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/creator/druid/DruidConfigUtil.java,toProperties(DruidConfig),false,1,0,5,5,70,40
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/creator/druid/DruidLogConfigUtil.java,"initFilter(Class, Map)",false,1,0,3,3,289,27
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-spring-boot-starter/src/main/java/com/baomidou/dynamic/datasource/spring/boot/autoconfigure/DynamicDataSourcePoolMetricsAutoConfiguration.java,"bindMetricsRegistryToHikariDataSource(HikariDataSource, MeterRegistry)",false,1,0,5,5,343,62
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/aop/DynamicDatasourceNamedInterceptor.java,findDsKey(MethodInvocation),false,1,0,2,2,395,49
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/aop/DynamicLocalTransactionInterceptor.java,invoke(MethodInvocation),false,1,0,4,4,184,47
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/destroyer/DefaultDataSourceDestroyer.java,"destroy(String, DataSource)",false,0,1,2,3,19,37
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/support/DataSourceClassResolver.java,"computeDatasource(Method, Object, Class)",false,1,0,6,6,201,45
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/support/DataSourceClassResolver.java,"findKey(Method, Object, Class)",false,1,0,2,2,360,47
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/support/DataSourceClassResolver.java,"findTransactionalInfo(Method, Object, Class)",false,1,0,2,2,279,49
