repo_name,className,methodSignature,clinit,baseline_success,jesspro_success,baseline_stubDecls,jesspro_stubDecls,baseline_timeMs,jesspro_timeMs
abel533_mapper,repos/abel533_mapper/generator/src/main/java/tk/mybatis/mapper/generator/MapperCommentGenerator.java,"addSetterComment(Method, IntrospectedTable, IntrospectedColumn)",false,1,0,6,6,82,84
alibaba_easyexcel,repos/alibaba_easyexcel/easyexcel-core/src/main/java/com/alibaba/excel/read/builder/ExcelReaderBuilder.java,extraRead(CellExtraTypeEnum),false,0,1,3,3,46,47
alibaba_jvm-sandbox,repos/alibaba_jvm-sandbox/sandbox-core/src/main/java/com/alibaba/jvm/sandbox/core/util/SandboxStringUtils.java,toJavaClassNameArray(Type[]),false,0,1,2,2,35,39
alibaba_otter,repos/alibaba_otter/shared/arbitrate/src/main/java/com/alibaba/otter/shared/arbitrate/impl/setl/lb/StickLoadBalance.java,next(),false,0,1,1,1,91,87
almasb_fxgl,repos/almasb_fxgl/fxgl-entity/src/main/java/com/almasb/fxgl/physics/box2d/dynamics/joints/DistanceJoint.java,initVelocityConstraints(SolverData),false,1,0,6,6,256,299
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/creator/druid/DruidConfigUtil.java,toProperties(DruidConfig),false,1,0,5,5,70,72
baomidou_dynamic-datasource,repos/baomidou_dynamic-datasource/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/destroyer/DefaultDataSourceDestroyer.java,"destroy(String, DataSource)",false,0,1,2,3,19,37
baomidou_dynamic-datasource-spring-boot-starter,repos/baomidou_dynamic-datasource-spring-boot-starter/dynamic-datasource-creator/src/main/java/com/baomidou/dynamic/datasource/creator/druid/DruidConfigUtil.java,toProperties(DruidConfig),false,1,0,5,5,68,72
baomidou_dynamic-datasource-spring-boot-starter,repos/baomidou_dynamic-datasource-spring-boot-starter/dynamic-datasource-spring/src/main/java/com/baomidou/dynamic/datasource/destroyer/DefaultDataSourceDestroyer.java,"destroy(String, DataSource)",false,0,1,2,3,21,39
brianfrankcooper_ycsb,repos/brianfrankcooper_ycsb/azuretablestorage/src/main/java/site/ycsb/db/azuretablestorage/AzureClient.java,"delete(String, String)",false,1,0,4,4,168,163
cglib_cglib,repos/cglib_cglib/cglib/src/main/java/net/sf/cglib/core/TypeUtils.java,toInternalNames(Type[]),false,0,1,2,2,70,78
didi_knowstreaming,repos/didi_knowstreaming/km-core/src/main/java/com/xiaojukeji/know/streaming/km/core/service/version/BaseVersionControlService.java,"getJMXInfo(String, String)",false,0,1,1,1,62,55
dyc87112_springboot-learning,repos/dyc87112_springboot-learning/2.x/chapter4-5/src/main/java/com/didispace/chapter45/WebSecurityConfig.java,configure(HttpSecurity),false,1,0,9,9,96,101
jacoco_jacoco,repos/jacoco_jacoco/org.jacoco.core/src/org/jacoco/core/internal/analysis/filter/FinallyFilter.java,size(AbstractInsnNode),false,0,1,5,5,82,82
joelittlejohn_jsonschema2pojo,repos/joelittlejohn_jsonschema2pojo/jsonschema2pojo-ant/src/main/java/org/jsonschema2pojo/ant/AntRuleLogger.java,"log(String, Throwable, int, String)",false,0,1,3,3,108,113
joelittlejohn_jsonschema2pojo,repos/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/rules/SchemaRule.java,nameFromRef(String),false,1,0,2,2,119,109
joelittlejohn_jsonschema2pojo,repos/joelittlejohn_jsonschema2pojo/jsonschema2pojo-maven-plugin/src/main/java/org/jsonschema2pojo/maven/MatchPatternsFileFilter.java,addIncludes(String[]),false,0,1,2,0,53,39
jwtk_jjwt,repos/jwtk_jjwt/extensions/orgjson/src/main/java/io/jsonwebtoken/orgjson/io/OrgJsonSerializer.java,toJSONInstance(Object),false,0,1,1,1,131,111
jwtk_jjwt,repos/jwtk_jjwt/impl/src/main/java/io/jsonwebtoken/impl/security/DefaultDynamicJwkBuilder.java,ecChain(List),false,0,1,0,0,472,458
liaohuqiu_android-ultra-pull-to-refresh,repos/liaohuqiu_android-ultra-pull-to-refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrFrameLayout.java,layoutChildren(),false,0,1,8,8,87,98
liaohuqiu_android-ultra-pull-to-refresh,repos/liaohuqiu_android-ultra-pull-to-refresh/ptr-lib/src/in/srain/cube/views/ptr/util/PtrLocalDisplay.java,init(Context),false,0,1,8,8,43,51
mcxiaoke_android-volley,repos/mcxiaoke_android-volley/src/main/java/com/android/volley/toolbox/DiskBasedCache.java,pruneIfNeeded(int),false,1,0,2,2,83,83
